PlateSequenceName,BatchName,LocalCompletionTime,CompletionState,WellId,ChemistryId,ProbeId,Concentration,Units,Endpoint,SampleSize,InitialBaseline,Plateau,FinalBaseline,NetPlateau,NetPlateauTempAdj,CrossNetPlateau,CrossNetPlateauTempAdj,PlateauSlope,Temperature,Errors,Conc_clean,is_outlier
20251114-T5,TestBatch-1,19/11/2025 01:49:35 p.m.,Complete,R24_A01,Glucose,Probe1A,3.22773678614952,g/L,00:00:30,25,0.0713468279157366,3.87334523882185,0.0912132263183594,3.80199841090611,3.80679035836615,,,0.699855259486663,26.1207466125488,,3.22773678614952,False
20251114-T5,TestBatch-1,19/11/2025 01:49:35 p.m.,Complete,R24_A01,Lactate,Probe1B,2.64805192082496,g/L,00:00:30,25,1.67095102582659,19.8663332802909,2.01273618425642,18.1953822544643,18.2183152771422,,,2.89314814976301,26.1207466125488,,2.64805192082496,False
20251114-T5,TestBatch-1,19/11/2025 01:52:30 p.m.,Complete,R24_A01,Glutamine,Probe2A,3.055988387767,mmol/L,00:00:50,25,0.536098752702985,6.57381439208984,0.594644818987165,6.03771563938686,6.06852637786416,4.41238130841936,4.43537149385427,-1.15811756678997,25.8262748718262,,3.055988387767,False
20251114-T5,TestBatch-1,19/11/2025 01:52:30 p.m.,Complete,R24_A01,Glutamate,Probe2B,10.534945128792,mmol/L,00:00:50,25,0.862056732177734,5.2744380405971,0.968421391078404,4.41238130841936,4.43537149385427,,,-0.232887268066384,25.8262748718262,,10.534945128792,False
20251114-T5,TestBatch-1,19/11/2025 01:52:41 p.m.,Complete,R24_A02,Glucose,Probe1A,2.35020377431494,g/L,00:00:30,25,0.0646490369524274,2.83179146902902,0.0606610434395926,2.76714243207659,2.77182857866509,,,0.0271061488560616,26.1083717346191,,2.35020377431494,False
20251114-T5,TestBatch-1,19/11/2025 01:52:41 p.m.,Complete,R24_A02,Lactate,Probe1B,1.97763057077113,g/L,00:00:30,25,2.16754395621164,15.7504291534424,1.90234075273786,13.5828851972307,13.6058877685444,,,1.86756134033207,26.1083717346191,,1.97763057077113,False
20251114-T5,TestBatch-1,19/11/2025 01:55:38 p.m.,Complete,R24_A02,Glutamine,Probe2A,1.55255326397826,mmol/L,00:00:50,25,0.531433377947126,4.87915475027902,0.713691711425781,4.34772137233189,4.36958745993321,3.52526256016323,3.54340241764916,-1.11975533621653,25.8282356262207,,1.55255326397826,False
20251114-T5,TestBatch-1,19/11/2025 01:55:38 p.m.,Complete,R24_A02,Glutamate,Probe2B,8.41632997165794,mmol/L,00:00:50,25,0.930876323154994,4.45613888331822,1.07433836800712,3.52526256016323,3.54340241764916,,,-0.618030003138964,25.8282356262207,,8.41632997165794,False
20251114-T5,TestBatch-1,19/11/2025 01:55:47 p.m.,Complete,R24_A03,Glucose,Probe1A,2.87197317077166,g/L,00:00:30,25,-0.000668934413364955,3.37924521309989,0.00851140703473772,3.37991414751325,3.38720301571498,,,0.444725581577846,26.095142364502,,2.87197317077166,False
20251114-T5,TestBatch-1,19/11/2025 01:55:47 p.m.,Complete,R24_A03,Lactate,Probe1B,2.65651069342135,g/L,00:00:30,25,1.95339584350586,20.1905776432582,2.30040577479771,18.2371817997524,18.2765107319997,,,3.58280181884758,26.095142364502,,2.65651069342135,False
20251114-T5,TestBatch-1,19/11/2025 01:58:19 p.m.,Complete,R24_A03,Glutamine,Probe2A,2.83460211559574,mmol/L,00:00:50,25,0.602244785853795,6.47184944152832,0.845155988420759,5.86960465567453,5.88871730500952,4.35893767220633,4.37458401410486,-0.950415475027875,25.8753929138184,,2.83460211559574,False
20251114-T5,TestBatch-1,19/11/2025 01:58:19 p.m.,Complete,R24_A03,Glutamate,Probe2B,10.390562011264,mmol/L,00:00:50,25,0.989246640886579,5.34818431309291,1.18757002694266,4.35893767220633,4.37458401410486,,,-0.100789751325204,25.8753929138184,,10.390562011264,False
20251114-T5,TestBatch-1,19/11/2025 01:58:49 p.m.,Complete,R24_A04,Glucose,Probe1A,2.94021717340322,g/L,00:00:30,25,-0.00270107814243862,3.470826285226,-0.00149672372000558,3.47352736336844,3.46768994152283,,,0.40861129760747,26.2047729492188,,2.94021717340322,False
20251114-T5,TestBatch-1,19/11/2025 01:58:49 p.m.,Complete,R24_A04,Lactate,Probe1B,2.21263169177314,g/L,00:00:30,25,2.1131294795445,17.3614253997803,2.23054150172642,15.2482959202358,15.2226704604649,,,1.71527317592079,26.2047729492188,,2.21263169177314,False
20251114-T5,TestBatch-1,19/11/2025 02:01:13 p.m.,Complete,R24_A04,Glutamine,Probe2A,3.29127472350095,mmol/L,00:00:50,25,0.670798437935965,6.55485125950405,0.880373001098633,5.88405282156808,5.90321251712586,4.1277721949986,4.14258877185723,-1.20553697858544,25.8753929138184,,3.29127472350095,False
20251114-T5,TestBatch-1,19/11/2025 02:01:13 p.m.,Complete,R24_A04,Glutamate,Probe2B,9.83952425701814,mmol/L,00:00:50,25,1.06709807259696,5.19487026759556,1.19048118591309,4.1277721949986,4.14258877185723,,,-0.741201128278425,25.8753929138184,,9.83952425701814,False
20251114-T5,TestBatch-1,19/11/2025 02:01:43 p.m.,Complete,R24_A05,Glucose,Probe1A,3.05374784695914,g/L,00:00:30,25,-0.00217410496303013,3.60966464451381,-0.000744410923549107,3.61183874947684,3.60158793324448,,,0.273137773786324,26.2378463745117,,3.05374784695914,False
